,Unnamed: 0,ID,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,km_per_driving_day,drives_per_driving_day,km_per_drive,is_churned,device_code
0,0,0,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,138.3602667368421,11.894736842105264,11.63205782300885,0,2
1,1,1,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,1246.9018681818181,9.727272727272727,128.186173364486,0,1
2,2,2,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,382.39360225,11.875,32.20156650526316,0,2
3,3,3,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,304.53037436666665,13.333333333333334,22.8397780775,0,1
4,4,4,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,219.45566711111113,3.7777777777777777,58.091206,0,2
5,5,5,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,81.93079077272728,9.363636363636363,8.74989027669903,0,1
6,7,7,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,394.60262339999997,1.75,225.48721337142857,0,1
7,8,8,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,132.58548820000001,2.3,57.64586443478261,0,2
8,9,9,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,2014.4867649999999,22.666666666666668,88.87441610294117,1,1
9,10,10,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,950.5460488888889,2.2222222222222223,427.745722,0,1
10,11,11,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,2284.819767,100.0,22.84819767,0,1
11,12,12,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,209.35905966666667,3.4166666666666665,61.27582234146342,0,1
12,15,15,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,218.8829771,2.2,99.49226231818183,0,1
13,16,16,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,93.34994453846154,1.9230769230769231,48.54197116,0,2
14,17,17,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,320.84899818181816,19.90909090909091,16.11570310502283,1,2
15,18,18,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,3046.869575,12.666666666666666,240.54233486842105,0,2
16,19,19,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,428.32707005000003,4.9,87.41368776530612,0,1
17,20,20,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,228.84232628571428,6.0,38.140387714285716,0,1
18,21,21,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,103.34746747619047,5.666666666666667,18.23778837815126,0,1
19,22,22,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,165.8398075625,3.75,44.22394868333333,1,1
20,23,23,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,2141.7519565,11.5,186.23930056521738,1,1
21,26,26,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,536.5527697777777,11.777777777777779,45.55636724528301,0,2
